query_id	event_or_relation_kbid
AIDA_TA2_GR_2019_0001	NILV80000200
AIDA_TA2_GR_2019_0002	NILV80000200
AIDA_TA2_GR_2019_0003	NILV80000200
AIDA_TA2_GR_2019_0004	NILV80000200
AIDA_TA2_GR_2019_0005	NILV80000197
AIDA_TA2_GR_2019_0006	NILV80000197
AIDA_TA2_GR_2019_0007	PTR_R103_001
AIDA_TA2_GR_2019_0008	PTR_R103_003
AIDA_TA2_GR_2019_0009	PTR_R103_003
AIDA_TA2_GR_2019_0010	NILV80000194
AIDA_TA2_GR_2019_0011	NILV80000194
AIDA_TA2_GR_2019_0012	NILV80000194
AIDA_TA2_GR_2019_0013	PTR_R103_004
AIDA_TA2_GR_2019_0014	PTR_R103_004
AIDA_TA2_GR_2019_0015	PTR_R103_004
AIDA_TA2_GR_2019_0016	PTR_R103_005
AIDA_TA2_GR_2019_0017	PTR_R103_006
AIDA_TA2_GR_2019_0018	PTR_R103_006
AIDA_TA2_GR_2019_0019	PTR_R103_007
AIDA_TA2_GR_2019_0020	PTR_R103_009
AIDA_TA2_GR_2019_0021	NILV80000201
AIDA_TA2_GR_2019_0022	NILV80000201
AIDA_TA2_GR_2019_0023	NILV80000201
AIDA_TA2_GR_2019_0024	NILV80000201
AIDA_TA2_GR_2019_0025	NILV80000200
AIDA_TA2_GR_2019_0026	NILV80000200
AIDA_TA2_GR_2019_0027	PTR_R103_010
AIDA_TA2_GR_2019_0028	PTR_R103_010
AIDA_TA2_GR_2019_0029	PTR_R103_011
AIDA_TA2_GR_2019_0030	PTR_R103_013
AIDA_TA2_GR_2019_0031	PTR_R103_013
AIDA_TA2_GR_2019_0032	PTR_R103_013
AIDA_TA2_GR_2019_0033	NILV80000200
AIDA_TA2_GR_2019_0034	NILV80000200
AIDA_TA2_GR_2019_0035	NILV80000200
AIDA_TA2_GR_2019_0036	NILV80000200
AIDA_TA2_GR_2019_0037	NILV80000200
AIDA_TA2_GR_2019_0038	NILV80000200
AIDA_TA2_GR_2019_0039	NILV80000333
AIDA_TA2_GR_2019_0040	NILV80000333
AIDA_TA2_GR_2019_0041	NILV80000333
AIDA_TA2_GR_2019_0042	NILV80000333
AIDA_TA2_GR_2019_0043	PTR_R103_014
AIDA_TA2_GR_2019_0044	PTR_R103_014
AIDA_TA2_GR_2019_0045	PTR_R103_015
AIDA_TA2_GR_2019_0046	PTR_R103_016
AIDA_TA2_GR_2019_0047	PTR_R103_016
AIDA_TA2_GR_2019_0048	PTR_R103_017
