AnnotIndexID	Type	Output Value for Type	Subtype	Output Value for Subtype	Sub-subtype	Output Value for Sub-subtype	Definition	OWGIndexID	LEVEL-0	TYPE-1	SUBTYPE-2	SUB-SUBTYPE-3	SUB-SUB-SUBTYPE-4	SUB-SUB--SUB-SUBTYPE-5	SUB-SUB--SUB-SUB-SUBTYPE-6	SUB-SUB--SUB-SUB-SUB-SUBTYPE-7	Entity Type	Source Ontology	Uplink	Definition
LDC_ent_001	BAL	bal	n/a	unspecified	n/a	unspecified	"A ballot for an election, either the paper ballot used for voting, including both physical paper ballots, and also the slate of candidates and ballot questions"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_002	BAL	bal	BallotSlate	ballotslate	BallotSlate	ballotslate	The slate of candidates listed on a ballot	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_003	BAL	bal	PaperBallot	paperballot	PaperBallot	paperballot	The paper printed ballot	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_004	COM	com	n/a	unspecified	n/a	unspecified	"A product or article of trade for which someone pays or barters, or more generally, an artifact or a thing"	OWG_ent_017	Entity	PhysicalEntity	Artifact	-	-	-	-	-	Artifact	AIDA-OWG	PhysicalEntity	
LDC_ent_005	COM	com	Document	document	n/a	unspecified	A document	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_006	COM	com	Document	document	Map	map	"A symbolic depiction emphasizing relationships between elements of some space, such as objects, regions, or themes"	OWG_ent_167	Entity	PhysicalEntity	Artifact	Creation	Map	-	-	-	Map/m/04_tb	Columbia-RPI	Creation103129123	https://en.wikipedia.org/wiki/Map
LDC_ent_007	COM	com	Document	document	PersonalIdentification	personalidentification	Document that proves a person's identity	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_008	COM	com	Equipment	equipment	n/a	unspecified	"A piece of equipment, an instrumentality needed for an undertaking or to perform a service"	OWG_ent_116	Entity	PhysicalEntity	Artifact	Instrument	Equipment	-	-	-	Equipment103294048	RPI	Instrument	an instrumentality needed for an undertaking or to perform a service
LDC_ent_009	COM	com	Equipment	equipment	HumanitarianAid	humanitarianaid	Supplies and items for humanitarian aid	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_010	COM	com	Equipment	equipment	MedicalEquipment	medicalequipment	"Medical equipment and supplies, including medicines"	OWG_ent_119	Entity	PhysicalEntity	Artifact	Instrument	Equipment	MedicalEquipment	-	-	Medical equipment/m/01xgg_	Columbia-RPI	Equipment103294048	https://en.wikipedia.org/wiki/Medical_equipment
LDC_ent_011	COM	com	Equipment	equipment	MilitaryEquipment	militaryequipment	Equipment and supplies used by the military for military purposes	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_012	COM	com	Equipment	equipment	Satellite	satellite	An artificial object which has been intentionally placed into orbit	OWG_ent_125	Entity	PhysicalEntity	Artifact	Instrument	Equipment	Satellite	-	-	satellite/m/06wwc	Columbia-RPI	Equipment103294048	https://en.wikipedia.org/wiki/Satellite
LDC_ent_013	COM	com	Flag	flag	Flag	flag	"A piece of fabric (most often rectangular or quadrilateral) with a distinctive design and colours, used as a symbol, a signaling device, or for decoration"	OWG_ent_163	Entity	PhysicalEntity	Artifact	Creation	Flag	-	-	-	Flag/m/03120	Columbia-RPI	Creation103129123	https://en.wikipedia.org/wiki/Flag
LDC_ent_014	COM	com	Wreckage	wreckage	Wreckage	wreckage	"Rubble, debris, ruins, scattered remains of something destroyed"	OWG_ent_181	Entity	PhysicalEntity	NonLivingTangiblePart	Wreckage	-	-	-	-	wreckage/dvmm/new/0007	Columbia-RPI	NonLivingTangiblePart	
LDC_ent_015	CRM	crm	n/a	unspecified	n/a	unspecified	A criminal offense	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_016	CRM	crm	BehaviorCrime	behaviorcrime	n/a	unspecified	An unlawful act punishable by the state that is a crime of personal interactions	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_017	CRM	crm	BehaviorCrime	behaviorcrime	FailToAssist	failtoassist	A crime of failing to assist people whose lives are in danger	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_018	CRM	crm	BehaviorCrime	behaviorcrime	OrganizedCrime	organizedcrime	"A crime of organized crime, mafia, mob, or crime syndicate"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
