uid	topic	url	derived_uid	lang_id	lang_manual	content_date
IC0011SZH	T102	http://www.bbc.com/news/av/world-europe-26315477/ukraine-conflict-cctv-shows-yanukovych-fleeing	HC00002Z0	eng	eng	2014-02-23
IC0011SKY	T101	https://www.youtube.com/watch?v=dmQ_4pf9hV8	IC0011SL0	eng	eng	n/a
IC0011T08	T102	http://www.dailymail.co.uk/news/article-2565933/Where-Ukrainian-president-Fugitive-Viktor-Yanukovychs-plane-denied-permission-fly-Russia-spokesman-does-not-know-is.html	HC00002Z1	eng	eng	2014-10-31
IC0011YHZ	T101	https://znaj.ua/society/katastrofa-mh17-ekspert-vkazav-na-pidozrili-diyi-rosiyi	HC000T6J8	ukr	ukr	2017-07-17
IC0011YJD	T101	https://www.currenttime.tv/a/28018417.html	HC000T6IZ	rus	rus	2016-09-28
IC00120T5	T103	https://www.radiosvoboda.org/a/25271927.html	HC000T6I5	rus,ukr	rus,ukr	2014-02-21
IC00120UN	T103	http://4ubuk.blogspot.com/2014/03/18.html	HC000T6GA	ukr	ukr	2017-03-23
IC00120WV	T102	https://dt.ua/POLITICS/oprilyudneno-nove-video-evakuaciyi-yanukovicha-z-mezhigir-ya-cinnosti-vivozili-tri-dni-139461_.html	HC000T6G0	ukr	ukr	2017-03-12
IC001211K	T102	https://www.unian.ua/politics/904422-yanukovich-tikav-z-ukrajini-cherez-sevastopol-nalivaychenko.html	HC000T6FG	ukr	ukr	2017-04-05
IC001211V	T102	https://www.unian.ua/politics/910014-yak-yanukovich-tikav-z-ukrajini-rozsliduvannya-jurnalistiv.html	HC000T6FE	ukr	ukr	2017-04-21
IC0012125	T102	https://ua.korrespondent.net/ukraine/politics/3344838-hlava-sbu-rozpoviv-yak-i-koly-yanukovych-vtik-z-ukrainy	HC000T6FC	ukr	ukr	2017-04-05
IC001212X	T102	http://vgolos.com.ua/maidan/	HC000T6FB	ukr	ukr	2017-02-22
IC0012130	T102	https://ukr.segodnya.ua/ukraine/yanukovich-bezhal-na-treh-kortezhah-nachalnik-ugo-520352.html	HC000T6FA	ukr	ukr	2017-05-15
IC00121G6	T102	https://www.rbc.ru/politics/26/02/2014/5704184e9a794761c0ce728c	HC000T6D1	rus	rus	2014-02-26
IC00121L9	T102	https://www.nytimes.com/2015/01/04/world/europe/ukraine-leader-was-defeated-even-before-he-was-ousted.html	HC000T6CJ	eng	eng,ukr	2015-01-03
IC0011TD4	T102	http://www.ctvnews.ca/world/seeking-viktor-yanukovych-a-rundown-of-sightings-in-ukraine-1.1701229	HC00002Z2	eng	eng	2014-02-24
IC0011TGJ	T102	https://www.rt.com/news/yanukovich-ukraine-president-warrant-417/	HC00002Z4	eng	eng	2014-02-24
IC0011TGT	T102	http://www.bbc.com/news/world-europe-26386946	HC00002Z5	eng	eng	2014-02-28
IC0011THD	T102	http://www.telegraph.co.uk/news/worldnews/europe/ukraine/10660169/Ukraine-revolution-Where-on-Earth-is-Viktor-Yanukovych.html	HC00002Z6	eng	eng	2014-02-25
